record_id	dataset_id	event_date_json	record_type	title_json	raw_text_json	category_signal_json	source_batch	synthetic
syn-0002	category_b	"2026-08-01"	comment	null	"  \n\t  "	"海岸湿地观测信号"	batch-2026-08-01	true
syn-0004	category_d	"2026-08-01"	article	"合成标题 4"	"Ｆｕｌｌ－ｗｉｄｔｈ　１２３ 与 half-width 123"	"古籍修复观测信号"	batch-2026-08-01	true
syn-0009	category_a	"2026-08-01"	reply	null	"近似重复文本包含甲乙丙丁和一个核心事实。"	"脉冲星观测信号"	batch-2026-08-01	true
syn-0011	category_c	"2026-08-01"	comment	null	"链式样本 甲乙丙丁 戊己庚辛"	"城市交通观测信号"	batch-2026-08-01	true
syn-0013	category_a	"2026-08-08"	article	"合成标题 13"	"链式样本 壬癸子丑 寅卯辰巳"	"脉冲星观测信号"	batch-2026-08-08	true
syn-0018	category_b	"2026-08-08"	reply	null	"疑似截断正文，后续内容"	"海岸湿地观测信号"	batch-2026-08-08	true
syn-0020	category_d	null	comment	null	"古籍修复观测信号：第20条comment样本，包含清晰的匿名事实 5803。"	"古籍修复观测信号"	batch-date-missing	true
syn-0022	category_b	"2026-08-08"	article	"合成标题 22"	"海岸湿地观测信号：第22条article样本，包含局部的匿名事实 5443。"	"海岸湿地观测信号"	batch-2026-08-08	true
syn-0027	category_c	"2026-08-15"	reply	null	"城市交通观测信号：第27条reply样本，包含局部的匿名事实 4541。"	"城市交通观测信号"	batch-2026-08-15	true
syn-0029	category_a	"2026-08-15"	comment	null	"脉冲星观测信号：第29条comment样本，包含稳定的匿名事实 6245。"	"脉冲星观测信号"	batch-2026-08-15	true
syn-0031	category_c	"2026-08-15"	article	"合成标题 31"	"城市交通观测信号：第31条article样本，包含可复核的匿名事实 1768。"	"城市交通观测信号"	batch-2026-08-15	true
syn-0036	category_d	"2026-08-15"	reply	null	"古籍修复观测信号：第36条reply样本，包含连续的匿名事实 9844。"	"古籍修复观测信号"	batch-2026-08-15	true
syn-0038	category_b	"2026-08-22"	comment	null	"海岸湿地观测信号：第38条comment样本，包含稳定的匿名事实 1531。"	"海岸湿地观测信号"	batch-2026-08-22	true
syn-0040	category_d	"2026-08-22"	article	"合成标题 40"	"古籍修复观测信号：第40条article样本，包含可复核的匿名事实 3397。"	"古籍修复观测信号"	batch-2026-08-22	true
syn-0045	category_a	"2026-08-22"	reply	null	"脉冲星观测信号：第45条reply样本，包含清晰的匿名事实 1066。"	"脉冲星观测信号"	batch-2026-08-22	true
syn-0047	category_c	"2026-08-22"	comment	null	"城市交通观测信号：第47条comment样本，包含可复核的匿名事实 6621。"	"城市交通观测信号"	batch-2026-08-22	true
syn-0049	category_a	"2026-08-01"	article	"合成标题 49"	"脉冲星观测信号：第49条article样本，包含可复核的匿名事实 9021。"	"脉冲星观测信号"	batch-2026-08-01	true
